Freq, i_avg, r_avg, i_qf_avg, r_qf_avg, i_i_avg, r_i_avg, i_q_avg, r_q_avg
[ANTENNA_MEASUREMENT_VALUE_0]
2400.000,  21,  48, 249, 249,   16,    8,    9,   20
2401.000, 160, 193, 251, 251,  -13,    1,  -13,  -22
2402.000,  35,  74, 252, 253,   12,   -6,   13,   22
2403.000, 162, 206, 254, 249,  -12,    8,  -14,  -22
2404.000,  28,  79, 253, 253,   15,   -8,   12,   21
2405.000, 149, 203, 253, 254,  -20,    6,  -11,  -23
2406.000,  11,  72, 251, 254,   23,   -5,    6,   25
2407.000, 127, 197, 253, 250,  -26,    3,    1,  -28
2408.000, 242,  68, 253, 252,   26,   -3,   -9,   31
2409.000, 102, 196, 253, 255,  -23,    4,   17,  -33
2410.000, 219,  69, 253, 251,   18,   -4,  -23,   35
2411.000,  77, 196, 251, 251,   -9,    4,   30,  -36
2412.000, 191,  66, 255, 253,   -1,   -2,  -32,   38
2413.000,  47, 194, 252, 251,   13,    2,   29,  -40
2414.000, 162,  66, 254, 254,  -20,   -2,  -23,   41
2415.000,  22, 194, 253, 253,   26,    2,   15,  -41
2416.000, 138,  63, 253, 254,  -29,    0,   -7,   40
2417.000, 254, 190, 253, 251,   29,   -2,   -2,  -39
2418.000, 112,  59, 254, 254,  -27,    4,   11,   38
2419.000, 230, 184, 252, 254,   24,   -8,  -18,  -37
2420.000,  92,  53, 254, 252,  -19,   10,   24,   37
2421.000, 209, 178, 255, 251,   13,  -13,  -29,  -36
2422.000,  70,  48, 253, 253,   -5,   15,   33,   37
2423.000, 185, 173, 254, 254,   -6,  -19,  -34,  -37
2424.000,  45,  43, 252, 253,   16,   22,   32,   37
2425.000, 159, 169, 254, 252,  -27,  -24,  -26,  -37
2426.000,  17,  38, 253, 254,   36,   28,   16,   37
2427.000, 130, 164, 254, 249,  -41,  -31,   -2,  -38
2428.000, 242,  36, 251, 253,   39,   33,  -14,   39
2429.000,  99, 162, 253, 252,  -31,  -36,   27,  -40
2430.000, 212,  33, 254, 249,   19,   37,  -36,   40
2431.000,  71, 162, 252, 253,   -6,  -36,   39,  -39
2432.000, 184,  35, 253, 248,   -7,   35,  -39,   40
2433.000,  43, 163, 255, 249,   18,  -34,   31,  -39
2434.000, 159,  38, 253, 254,  -24,   31,  -23,   41
2435.000,  20, 164, 254, 251,   27,  -30,   15,  -37
2436.000, 138,  35, 253, 253,  -28,   29,   -7,   33
2437.000, 255, 161, 255, 253,   28,  -28,    0,  -29
2438.000, 118,  28, 253, 252,  -28,   30,    7,   24
2439.000, 235, 150, 252, 252,   26,  -32,  -15,  -19
2440.000,  95,  17, 253, 254,  -22,   34,   23,   15
2441.000, 207, 138, 254, 254,   12,  -38,  -32,   -9
2442.000,  65,  10, 252, 252,   -1,   41,   34,    9
2443.000, 178, 136, 253, 252,  -11,  -43,  -32,   -8
2444.000,  37,  10, 253, 253,   19,   43,   25,   10
2445.000, 153, 138, 252, 251,  -25,  -42,  -18,  -11
2446.000,  13,  10, 254, 255,   28,   40,    9,   10
2447.000, 129, 135, 250, 254,  -29,  -39,    0,   -7
2448.000, 242,   5, 252, 255,   25,   38,   -9,    5
2449.000, 104, 132, 253, 251,  -19,  -37,   13,   -4
2450.000, 223,   4, 251, 253,   14,   34,  -15,    3
2451.000,  90, 127, 251, 251,  -13,  -29,   17,    1
2452.000, 208, 248, 253, 251,    8,   26,  -20,   -5
2453.000,  70, 111, 252, 254,   -3,  -24,   23,   11
2454.000, 186, 231, 254, 252,   -4,   23,  -26,  -16
2455.000,  45,  99, 253, 253,   12,  -23,   25,   20
2456.000, 161, 224, 253, 252,  -20,   23,  -21,  -24
2457.000,  18,  95, 254, 252,   25,  -24,   12,   26
2458.000, 136, 224, 252, 253,  -26,   26,   -5,  -26
2459.000, 254,  96, 252, 251,   26,  -25,   -1,   25
2460.000, 116, 221, 253, 250,  -25,   22,    8,  -25
2461.000, 232,  88, 254, 252,   23,  -18,  -16,   27
2462.000,  91, 211, 252, 253,  -18,   15,   23,  -30
2463.000, 207,  81, 254, 250,   11,  -14,  -28,   33
2464.000,  65, 206, 253, 251,   -1,   12,   31,  -35
2465.000, 181,  75, 253, 251,   -9,  -10,  -31,   37
2466.000,  38, 199, 250, 252,   19,    6,   27,  -38
2467.000, 154,  69, 253, 249,  -27,   -4,  -20,   39
2468.000,  13, 197, 253, 253,   31,    5,   10,  -41
2469.000, 129,  68, 253, 253,  -32,   -4,   -1,   42
2470.000, 246, 195, 253, 253,   31,    3,   -8,  -41
2471.000, 108,  65, 252, 252,  -29,   -1,   16,   40
2472.000, 223, 190, 252, 251,   24,   -2,  -25,  -39
2473.000,  82,  59, 253, 252,  -16,    6,   33,   41
2474.000, 196, 184, 254, 254,    4,   -8,  -38,  -43
2475.000,  53,  55, 254, 254,   10,   10,   38,   44
2476.000, 165, 182, 251, 252,  -25,  -11,  -32,  -46
2477.000,  22,  53, 253, 253,   35,   13,   21,   47
2478.000, 134, 181, 253, 253,  -38,  -13,   -5,  -48
2479.000, 249,  55, 251, 249,   37,   11,   -7,   48

[ANTENNA_MEASUREMENT_VALUE_1]
2400.000, 159,  24, 252, 253,  -19,   22,  -18,   15
2401.000,  20, 147, 254, 252,   22,  -21,   12,  -10
2402.000, 138,  14, 252, 254,  -24,   21,   -6,    7
2403.000,   1, 135, 250, 251,   25,  -21,    1,   -3
2404.000, 117,   0, 254, 253,  -27,   21,    8,    0
2405.000, 230, 123, 252, 253,   24,  -21,  -18,    3
2406.000,  86, 248, 254, 253,  -16,   24,   26,   -5
2407.000, 200, 120, 252, 253,    6,  -25,  -29,    5
2408.000,  59, 250, 254, 253,    3,   26,   27,   -4
2409.000, 175, 124, 252, 252,  -11,  -25,  -24,    3
2410.000,  32, 251, 253, 251,   17,   23,   17,   -3
2411.000, 151, 123, 253, 252,  -18,  -23,  -11,    3
2412.000,  11, 251, 254, 251,   18,   20,    5,   -2
2413.000, 132, 119, 255, 253,  -17,  -18,   -2,    4
2414.000, 249, 244, 252, 254,   17,   15,   -3,   -5
2415.000, 110, 107, 251, 253,  -15,  -13,    7,    7
2416.000, 227, 230, 250, 253,   12,   12,  -10,   -9
2417.000,  87,  96, 252, 253,   -7,  -10,   11,   10
2418.000, 211, 220, 249, 252,    6,    8,  -11,  -10
2419.000,  76,  87, 250, 251,   -4,   -6,   12,   10
2420.000, 197, 207, 253, 251,    2,    4,  -14,  -10
2421.000,  59,  70, 253, 253,    2,   -1,   15,   11
2422.000, 178, 193, 253, 251,   -5,    0,  -14,  -12
2423.000,  43,  60, 253, 254,    7,    1,   13,   12
2424.000, 162, 183, 252, 252,  -11,   -3,  -12,  -12
2425.000,  22,  47, 254, 252,   15,    5,    9,   12
2426.000, 140, 170, 252, 248,  -19,   -7,   -5,  -12
2427.000, 255,  36, 255, 252,   21,   10,   -1,   12
2428.000, 112, 162, 252, 253,  -20,  -11,    8,  -12
2429.000, 226,  31, 254, 253,   17,   13,  -15,   12
2430.000,  82, 155, 251, 254,   -9,  -15,   20,  -11
2431.000, 200,  28, 252, 253,    4,   15,  -20,   12
2432.000,  63, 156, 253, 253,    0,  -15,   19,  -12
