FIRMWARE VERSION: 1979
FIRMWARE VERSION: 1979
Freq, i_avg, r_avg, i_qf_avg, r_qf_avg, i_i_avg, r_i_avg, i_q_avg, r_q_avg
[ANTENNA_MEASUREMENT_VALUE_0]
2400.000, 118, 143, 254, 250,  -20,  -21,    5,   -8
2401.000, 228,   3, 254, 252,   15,   26,  -13,    2
2402.000,  53,  97, 252, 254,    5,  -19,   17,   19
2403.000, 124, 173, 253, 252,  -16,  -11,    2,  -23
2404.000, 186, 239, 254, 252,   -3,   21,  -18,   -9
2405.000, 235,  37, 253, 252,   20,   13,  -11,   16
2406.000,  21,  86, 254, 252,   23,  -12,   13,   20
2407.000,  57, 139, 252, 252,    5,  -28,   29,   -8
2408.000,  93, 197, 252, 251,  -20,    4,   23,  -35
2409.000, 129,   0, 254, 252,  -30,   38,   -1,    0
2410.000, 166,  59, 253, 251,  -18,    5,  -24,   39
2411.000, 200, 116, 253, 252,    6,  -37,  -29,   11
2412.000, 235, 171, 253, 254,   23,  -19,  -13,  -34
2413.000,  15, 227, 253, 252,   22,   28,    9,  -25
2414.000,  54,  26, 254, 252,    5,   28,   21,   21
2415.000,  93,  80, 252, 254,  -13,  -12,   15,   29
2416.000, 135, 129, 250, 253,  -19,  -28,   -3,    0
2417.000, 175, 178, 252, 252,   -8,   -9,  -18,  -25
2418.000, 213, 226, 252, 252,   11,   19,  -19,  -17
2419.000, 252,  18, 251, 252,   25,   23,   -2,   11
2420.000,  30,  70, 250, 253,   20,   -4,   18,   28
2421.000,  63, 123, 252, 253,    0,  -32,   27,    4
2422.000,  99, 180, 252, 249,  -20,  -10,   17,  -33
2423.000, 134, 237, 255, 251,  -25,   31,   -3,  -16
2424.000, 167,  36, 252, 252,  -13,   22,  -19,   26
2425.000, 203,  92, 253, 251,    6,  -21,  -21,   26
2426.000, 241, 146, 250, 252,   18,  -28,   -7,  -13
2427.000,  24, 201, 252, 253,   16,    6,   11,  -27
2428.000,  60, 252, 251, 253,    2,   25,   20,   -3
2429.000,  92,  43, 252, 253,  -13,   12,   16,   22
2430.000, 123,  98, 253, 254,  -21,  -20,    3,   18
2431.000, 154, 153, 254, 252,  -16,  -22,  -12,  -16
2432.000, 183, 214, 253, 252,   -4,   15,  -18,  -24
2433.000, 209,  18, 254, 253,    6,   24,  -13,   11
2434.000, 237,  82, 247, 252,    9,  -10,   -5,   22
2435.000,   8, 145, 249, 252,    5,  -17,    1,   -8
2436.000,  58, 208, 227, 251,    0,    5,    2,  -12
2437.000, 144,  14, 251, 242,   -2,    7,   -1,    2
2438.000, 178,  52, 245, 219,   -1,    1,   -3,    3
2439.000, 196,  60, 247, 235,    0,    0,   -3,    2
2440.000, 204, 112, 243, 253,    1,   -4,   -3,    2
2441.000, 191, 182, 248, 243,    0,   -1,   -3,   -4
2442.000, 196,   6, 247, 239,    0,    3,   -5,    0
2443.000, 216, 108, 250, 241,    4,   -4,   -5,    2
2444.000, 241, 192, 250, 251,    7,    0,   -3,   -6
2445.000,  11,  10, 251, 248,    7,    8,    2,    2
2446.000,  40,  77, 248, 248,    4,   -3,    6,    9
2447.000,  67, 140, 241, 251,    0,   -9,    5,   -3
2448.000, 120, 202, 255, 248,   -1,    2,    0,   -8
2449.000, 218,   7, 247, 247,    3,    6,   -4,    1
2450.000, 248,  44, 248, 243,    9,    1,   -2,    2
2451.000,  17,  36, 249, 249,   13,    4,    6,    4
2452.000,  43,  94, 253, 245,    8,   -8,   15,    9
2453.000,  66, 155, 250, 253,   -1,  -14,   19,  -11
2454.000,  94, 218, 253, 253,  -12,   13,   13,  -18
2455.000, 127,  28, 248, 252,  -16,   19,    1,   15
2456.000, 161,  90, 253, 253,  -10,  -14,  -11,   19
2457.000, 197, 148, 250, 252,    2,  -19,  -12,  -10
2458.000, 239, 206, 251, 253,   10,    6,   -4,  -18
2459.000,  30,   3, 248, 252,    7,   16,    7,    1
2460.000,  71,  52, 250, 254,   -2,    4,   12,   13
2461.000, 108,  94, 249, 248,  -11,   -9,    6,   10
2462.000, 145, 143, 253, 254,  -13,  -14,   -6,   -5
2463.000, 179, 194, 253, 251,   -5,    1,  -14,  -16
2464.000, 211, 247, 251, 252,    7,   17,  -14,   -4
2465.000, 243,  43, 251, 254,   13,    9,   -5,   17
2466.000,  26, 100, 250, 253,   10,  -15,    7,   12
2467.000,  68, 156, 254, 252,   -1,  -14,   12,  -11
2468.000, 110, 212, 255, 252,  -11,    7,    5,  -14
2469.000, 149,   0, 250, 251,  -10,   15,   -6,    0
2470.000, 192,  53, 253, 253,    0,    4,  -13,   14
2471.000, 229, 102, 254, 254,   11,  -12,   -9,    9
2472.000,   7, 152, 252, 254,   15,  -13,    2,   -9
2473.000,  41, 203, 252, 252,    8,    4,   13,  -17
2474.000,  75,   2, 251, 253,   -4,   19,   14,    1
2475.000, 111,  57, 251, 252,  -12,    3,    5,   18
2476.000, 147, 113, 252, 252,  -11,  -17,   -5,    7
2477.000, 190, 166, 249, 250,   -1,  -10,  -11,  -13
2478.000, 230, 218, 249, 252,   10,    9,   -7,  -12
2479.000,  12,   9, 253, 253,   12,   13,    3,    3

[ANTENNA_MEASUREMENT_VALUE_1]
2400.000,  51, 103, 251, 251,   15,  -33,   44,   23
2401.000,  84, 153, 252, 253,  -21,  -34,   39,  -23
2402.000, 122, 206, 253, 255,  -45,   13,    7,  -38
2403.000, 158,   1, 251, 249,  -36,   39,  -32,    1
2404.000, 191,  52, 252, 252,   -2,   12,  -49,   38
2405.000, 224, 104, 252, 254,   32,  -35,  -31,   23
2406.000,   4, 161, 251, 251,   37,  -29,    4,  -31
2407.000,  49, 219, 253, 253,   11,   24,   28,  -31
2408.000, 100,  16, 252, 253,  -22,   30,   19,   13
2409.000, 146,  63, 250, 253,  -33,    1,  -15,   26
2410.000, 184, 104, 253, 253,   -8,  -21,  -44,   14
2411.000, 219, 150, 253, 251,   32,  -27,  -41,  -16
2412.000, 252, 200, 252, 251,   56,    8,   -6,  -39
2413.000,  28, 255, 251, 254,   44,   46,   36,   -1
2414.000,  62,  56, 254, 249,    3,   10,   55,   48
2415.000,  97, 112, 251, 254,  -39,  -46,   38,   20
2416.000, 133, 168, 254, 254,  -53,  -27,   -6,  -40
2417.000, 164, 219, 254, 251,  -31,   29,  -39,  -38
2418.000, 202,  19, 253, 250,   11,   42,  -45,   21
2419.000, 241,  74, 253, 254,   41,  -10,  -15,   43
2420.000,  22, 127, 252, 253,   39,  -41,   24,    0
2421.000,  58, 178, 251, 252,    7,  -13,   44,  -36
2422.000,  94, 232, 253, 253,  -28,   33,   31,  -22
2423.000, 129,  32, 253, 253,  -38,   28,   -1,   27
2424.000, 166,  86, 251, 254,  -19,  -19,  -26,   31
2425.000, 207, 140, 254, 250,   11,  -32,  -28,  -10
2426.000, 248, 191, 251, 253,   27,    0,   -5,  -28
2427.000,  32, 241, 251, 253,   20,   24,   20,   -9
2428.000,  68,  32, 253, 252,   -3,   17,   27,   17
2429.000, 108,  80, 254, 252,  -24,  -10,   13,   23
2430.000, 145, 134, 252, 253,  -24,  -23,  -10,   -3
2431.000, 188, 182, 253, 253,   -3,   -6,  -27,  -23
2432.000, 223, 236, 253, 254,   21,   20,  -21,  -11
2433.000,   5,  28, 253, 252,   31,   18,    4,   15
2434.000,  38,  83, 254, 253,   20,  -12,   26,   23
2435.000,  68, 137, 254, 253,   -3,  -27,   32,   -6
2436.000,  95, 195, 252, 251,  -21,    2,   22,  -29
2437.000, 118, 254, 252, 250,  -23,   28,    6,   -2
2438.000, 144,  59, 252, 254,  -14,    3,   -6,   27
2439.000, 166, 126, 248, 252,   -4,  -21,   -5,    1
2440.000,  48, 189, 231, 254,    1,   -1,    3,  -13
2441.000,  73, 255, 252, 249,   -2,    6,    8,    0
2442.000, 105, 202, 253, 239,   -9,    1,    6,   -3
2443.000, 118,  16, 253, 246,  -14,    6,    3,    3
2444.000, 130,  74, 249, 253,  -12,   -2,   -1,   10
2445.000, 138, 150, 252, 252,  -12,  -11,   -3,   -6
2446.000, 142, 229, 254, 255,  -14,    9,   -5,   -7
2447.000, 154,  56, 254, 252,  -15,    2,  -11,   11
2448.000, 174, 143, 251, 248,  -10,  -12,  -21,   -5
2449.000, 193, 220, 253, 253,    1,   10,  -27,  -13
2450.000, 218,  33, 250, 253,   16,   14,  -22,   15
2451.000, 245, 102, 254, 253,   25,  -19,   -7,   15
2452.000,  17, 166, 252, 252,   21,  -14,    9,  -19
2453.000,  51, 225, 255, 251,    5,   16,   15,  -16
2454.000, 100,  30, 253, 253,  -11,   15,    9,   13
2455.000, 149,  84, 251, 251,  -12,   -7,   -7,   13
2456.000, 195, 125, 253, 250,    1,  -12,  -19,    1
2457.000, 231, 168, 253, 250,   19,   -7,  -14,  -10
2458.000,  12, 214, 251, 251,   25,    9,    8,  -15
2459.000,  47,  12, 253, 251,   12,   20,   27,    6
2460.000,  80,  66, 255, 252,  -12,   -1,   28,   23
2461.000, 117, 121, 253, 253,  -30,  -25,    8,    4
2462.000, 152, 177, 251, 253,  -26,  -10,  -17,  -24
2463.000, 188, 230, 250, 251,   -3,   22,  -31,  -16
2464.000, 222,  29, 250, 251,   21,   21,  -24,   18
2465.000, 254,  79, 253, 251,   30,  -10,   -2,   25
2466.000,  38, 134, 254, 253,   17,  -28,   22,   -4
2467.000,  77, 189, 253, 254,   -8,   -2,   27,  -26
2468.000, 112, 241, 249, 253,  -25,   23,   11,   -9
2469.000, 152,  36, 251, 252,  -22,   16,  -15,   19
2470.000, 191,  90, 248, 253,    0,  -14,  -23,   19
2471.000, 238, 142, 254, 253,   21,  -21,  -10,   -8
2472.000,  23, 193, 251, 253,   22,    1,   14,  -20
2473.000,  63, 237, 252, 252,    1,   18,   27,   -9
2474.000, 102,  30, 253, 252,  -26,   17,   19,   15
2475.000, 135,  79, 254, 253,  -34,   -9,   -6,   22
2476.000, 168, 129, 254, 250,  -21,  -28,  -31,   -1
2477.000, 198, 185, 254, 252,    5,   -5,  -36,  -30
2478.000, 232, 240, 252, 252,   28,   30,  -19,  -13
2479.000,  11,  43, 253, 252,   29,   16,    7,   27

[ANTENNA_MEASUREMENT_VALUE_2]
2400.000, 196, 248, 248, 249,    0,    5,   -6,   -1
2401.000, 235,  40, 250, 249,    7,    4,   -4,    5
2402.000,  19,  81, 251, 254,   10,   -3,    5,    6
2403.000,  51, 127, 254, 252,    5,  -10,   14,    0
2404.000,  81, 176, 253, 252,   -7,   -5,   17,  -13
2405.000, 111, 234, 252, 254,  -19,   16,    8,  -10
2406.000, 141,  37, 251, 253,  -21,   14,   -7,   18
2407.000, 171,  97, 251, 253,  -11,  -18,  -19,   18
2408.000, 204, 157, 253, 254,    5,  -20,  -18,  -17
2409.000, 243, 218, 254, 253,   16,   16,   -5,  -21
2410.000,  28,  20, 251, 253,   12,   20,   10,   11
2411.000,  71,  74, 254, 252,   -3,   -5,   15,   20
2412.000, 113, 122, 254, 253,  -15,  -18,    6,    3
2413.000, 153, 169, 253, 249,  -15,  -10,  -10,  -15
2414.000, 190, 216, 254, 251,   -1,   11,  -20,  -16
2415.000, 226,  10, 252, 252,   17,   21,  -15,    5
2416.000,   3,  61, 253, 254,   25,    2,    2,   24
2417.000,  33, 112, 251, 253,   17,  -25,   18,   11
2418.000,  67, 168, 252, 253,   -2,  -16,   25,  -24
2419.000, 102, 226, 252, 253,  -17,   22,   13,  -20
2420.000, 139,  28, 252, 251,  -20,   23,   -6,   19
2421.000, 175,  83, 250, 253,   -7,  -12,  -17,   23
2422.000, 216, 137, 251, 251,    9,  -25,  -14,   -6
2423.000, 254, 191, 253, 253,   14,    0,   -1,  -22
2424.000,  43, 241, 251, 251,    6,   18,   11,   -7
2425.000,  87,  36, 253, 253,   -6,   11,   10,   13
2426.000, 134,  80, 253, 251,  -12,   -6,   -2,   14
2427.000, 176, 127, 248, 252,   -5,  -14,  -12,    1
2428.000, 221, 168, 252, 252,   10,   -8,  -11,  -12
2429.000,   2, 214, 250, 252,   17,    8,    1,  -14
2430.000,  45,   2, 253, 252,    9,   18,   17,    1
2431.000,  83,  56, 254, 252,  -10,    4,   19,   20
2432.000, 124, 102, 254, 253,  -25,  -18,    3,   13
2433.000, 160, 154, 250, 251,  -21,  -21,  -21,  -15
2434.000, 197, 206, 252, 252,    4,   10,  -32,  -28
2435.000, 229,   3, 253, 252,   28,   35,  -22,    2
2436.000,  10,  57, 251, 253,   33,    6,    8,   38
2437.000,  49, 113, 253, 249,   13,  -38,   33,   15
2438.000,  86, 167, 253, 254,  -19,  -23,   33,  -32
2439.000, 123, 216, 251, 253,  -42,   23,    5,  -35
2440.000, 158,  12, 254, 252,  -36,   42,  -32,   13
2441.000, 190,  62, 254, 252,   -3,    3,  -53,   49
2442.000, 223, 115, 253, 253,   38,  -53,  -41,   17
2443.000, 252, 173, 253, 252,   55,  -27,   -5,  -55
2444.000,  28, 230, 252, 254,   40,   53,   33,  -39
2445.000,  64,  36, 252, 252,    0,   41,   47,   50
2446.000, 101,  94, 251, 252,  -32,  -40,   25,   44
2447.000, 138, 149, 255, 251,  -34,  -47,   -8,  -27
2448.000, 179, 204, 252, 252,  -10,   14,  -29,  -46
2449.000, 224, 255, 254, 254,   20,   41,  -21,   -1
2450.000,  12,  48, 249, 252,   29,   14,    9,   33
2451.000,  52,  92, 254, 254,   10,  -21,   34,   26
2452.000,  88, 136, 254, 253,  -22,  -35,   34,   -7
2453.000, 119, 184, 252, 249,  -43,   -8,   10,  -41
2454.000, 152, 237, 250, 253,  -38,   42,  -25,  -21
2455.000, 185,  38, 252, 254,   -7,   31,  -42,   42
2456.000, 223,  96, 254, 251,   26,  -38,  -27,   37
2457.000,   6, 153, 253, 254,   32,  -40,    5,  -29
2458.000,  51, 208, 252, 251,    9,   17,   28,  -41
2459.000,  95,   4, 253, 252,  -22,   38,   23,    3
2460.000, 139,  49, 250, 252,  -37,   12,  -10,   33
2461.000, 173,  95, 253, 254,  -21,  -26,  -43,   27
2462.000, 205, 141, 250, 251,   16,  -43,  -51,  -14
2463.000, 233, 196, 254, 252,   48,    5,  -30,  -56
2464.000,   6, 254, 251, 254,   54,   63,    7,   -3
2465.000,  34,  55, 251, 248,   32,   14,   35,   65
2466.000,  66, 116, 253, 251,   -2,  -61,   39,   18
2467.000, 101, 176, 252, 251,  -24,  -21,   19,  -52
2468.000, 140, 234, 252, 251,  -21,   40,   -6,  -24
2469.000, 191,  34, 254, 253,    0,   24,  -17,   26
2470.000, 245,  86, 250, 255,   16,  -13,   -5,   22
2471.000,  36, 127, 254, 253,   14,  -20,   17,    0
2472.000,  70, 163, 253, 255,   -4,  -13,   26,  -15
2473.000, 103, 206, 252, 252,  -22,    9,   16,  -25
2474.000, 138,   6, 252, 252,  -26,   31,   -7,    5
2475.000, 175,  60, 253, 253,  -10,    3,  -23,   32
2476.000, 214, 115, 252, 252,   13,  -31,  -22,   10
2477.000, 253, 166, 251, 252,   25,  -17,   -2,  -24
2478.000,  34, 217, 251, 254,   19,   17,   21,  -25
2479.000,  63,  13, 254, 253,    0,   28,   30,    9

[ANTENNA_MEASUREMENT_VALUE_3]
2400.000, 242, 144, 251, 253,   54,  -95,  -20,  -39
2401.000,  18, 195, 253, 252,   53,    8,   26,  -98
2402.000,  52, 247, 251, 251,   17,   94,   56,  -21
2403.000,  83,  44, 253, 248,  -27,   47,   53,   86
2404.000, 115,  99, 251, 250,  -47,  -74,   16,   65
2405.000, 153, 156, 250, 249,  -31,  -77,  -22,  -62
2406.000, 199, 215, 252, 249,    5,   44,  -29,  -70
2407.000, 250,  11, 249, 251,   30,   62,   -4,   17
2408.000,  40,  55, 251, 253,   21,   11,   31,   48
2409.000,  81,  94, 254, 252,  -19,  -35,   42,   38
2410.000, 117, 140, 251, 253,  -55,  -59,   15,  -19
2411.000, 150, 191, 254, 250,  -54,   -2,  -32,  -76
2412.000, 184, 245, 250, 253,  -12,   91,  -65,  -24
2413.000, 216,  47, 252, 252,   39,   43,  -57,   95
2414.000, 249, 102, 248, 252,   67,  -88,  -11,   64
2415.000,  27, 159, 253, 253,   53,  -83,   41,  -78
2416.000,  60, 217, 252, 249,    6,   64,   64,  -93
2417.000,  92,  12, 248, 251,  -38,  106,   47,   32
2418.000, 130,  68, 253, 249,  -58,   -9,   -2,  107
