FIRMWARE VERSION: 1979
Freq, i_avg, r_avg, i_qf_avg, r_qf_avg, i_i_avg, r_i_avg, i_q_avg, r_q_avg
[ANTENNA_MEASUREMENT_VALUE_0]
2400.000,  78, 153, 253, 252,   -5,  -28,   14,  -19
2401.000,  57, 143, 250, 252,    2,  -28,   11,  -11
2402.000,  28, 115, 253, 252,    8,  -24,    6,    8
2403.000, 238,  73, 250, 253,   11,   -4,   -5,   18
2404.000, 176,  14, 252, 252,   -5,   16,  -13,    6
2405.000, 109, 217, 249, 253,  -13,   12,    6,  -18
2406.000,  42, 168, 250, 252,    6,  -14,   11,  -21
2407.000, 237, 123, 251, 253,   10,  -25,   -5,    3
2408.000, 180,  73, 250, 251,   -3,   -5,  -11,   22
2409.000, 117,  17, 251, 253,  -14,   18,    4,    8
2410.000,  46, 212, 252, 255,    7,    9,   15,  -17
2411.000, 231, 157, 252, 254,   15,  -19,  -11,  -16
2412.000, 158, 107, 253, 253,  -13,  -25,  -12,   15
2413.000,  90,  57, 251, 253,  -10,    5,   14,   31
2414.000,  21,   8, 255, 254,   16,   30,    9,    6
2415.000, 207, 210, 251, 253,    7,   13,  -18,  -27
2416.000, 135, 156, 252, 253,  -20,  -25,   -4,  -20
2417.000,  60, 106, 254, 252,    2,  -29,   21,   18
2418.000, 241,  55, 253, 253,   19,    8,   -7,   35
2419.000, 167,   6, 252, 252,  -11,   37,  -16,    6
2420.000,  95, 215, 252, 253,  -12,   19,   12,  -31
2421.000,  25, 170, 251, 252,   12,  -18,    8,  -29
2422.000, 209, 121, 253, 252,    5,  -30,  -11,    5
2423.000, 143,  73, 251, 253,   -7,   -6,   -3,   26
2424.000,  98,  23, 249, 254,   -4,   18,    4,   11
2425.000,  45, 225, 250, 250,    4,   10,    8,  -10
2426.000, 227, 149, 251, 254,    9,   -9,   -8,   -5
2427.000, 153,  80, 251, 253,  -10,   -6,   -7,   15
2428.000,  81,  32, 254, 254,   -5,   15,   12,   15
2429.000,   9, 239, 251, 253,   12,   21,    3,   -9
2430.000, 193, 188, 253, 253,    0,   -2,  -12,  -23
2431.000, 119, 139, 252, 252,  -10,  -21,    2,   -5
2432.000,  55,  89, 247, 253,    2,  -12,    8,   17
2433.000, 250,  43, 243, 252,    6,    9,   -1,   15
2434.000, 213, 242, 253, 252,    3,   13,   -5,   -5
2435.000, 151, 184, 251, 249,   -8,   -2,   -5,  -10
2436.000,  83, 104, 250, 252,   -6,   -8,   12,    6
2437.000,   8,  41, 253, 252,   18,    9,    3,   14
2438.000, 186, 245, 253, 253,   -3,   23,  -21,   -7
2439.000, 108, 200, 253, 251,  -20,    6,   11,  -32
2440.000,  28, 155, 253, 252,   18,  -30,   15,  -23
2441.000, 208, 112, 252, 253,    8,  -38,  -19,   16
2442.000, 130,  72, 253, 252,  -18,   -8,   -1,   40
2443.000,  61,  25, 254, 253,    1,   30,   16,   21
2444.000, 246, 236, 249, 253,   15,   28,   -4,  -15
2445.000, 166, 186, 254, 254,   -8,   -4,  -11,  -28
2446.000,  95, 140, 251, 253,   -7,  -26,    8,   -8
2447.000,  27,  97, 249, 252,    7,  -17,    5,   16
2448.000, 217,  50, 247, 252,    5,    6,   -7,   17
2449.000, 138, 253, 249, 249,  -10,   14,   -2,   -1
2450.000,  47, 198, 251, 253,    4,    2,   10,  -14
2451.000, 215, 156, 250, 249,    6,  -14,  -10,  -11
2452.000, 125, 126, 249, 252,  -14,  -19,    1,    1
2453.000,  36,  92, 252, 250,   10,  -13,   13,   16
2454.000, 205,  59, 253, 253,    5,    3,  -17,   25
2455.000, 123,  28, 250, 252,  -18,   22,    2,   18
2456.000,  46, 248, 251, 252,    8,   30,   16,   -6
2457.000, 230, 209, 253, 255,   14,   13,  -10,  -29
2458.000, 161, 167, 252, 254,  -14,  -18,  -14,  -26
2459.000,  87, 121, 254, 252,  -11,  -30,   17,    5
2460.000,  12,  70, 252, 252,   20,   -5,    6,   33
2461.000, 196,  24, 252, 251,    2,   30,  -19,   20
2462.000, 129, 234, 254, 253,  -17,   30,    0,  -18
2463.000,  63, 184, 250, 252,    1,   -6,   19,  -32
2464.000, 251, 129, 251, 252,   20,  -30,   -2,    0
2465.000, 181,  74, 252, 253,   -6,   -7,  -22,   32
2466.000, 110,  18, 252, 254,  -22,   31,   11,   15
2467.000,  38, 222, 253, 249,   16,   27,   22,  -29
2468.000, 225, 175, 253, 252,   20,  -18,  -20,  -39
2469.000, 152, 125, 252, 252,  -24,  -46,  -16,    3
2470.000,  83,  75, 252, 254,  -13,  -12,   25,   46
2471.000,  11,  29, 253, 253,   26,   38,    7,   32
2472.000, 198, 237, 253, 254,    3,   43,  -25,  -22
2473.000, 132, 186, 253, 250,  -24,   -7,   -2,  -45
2474.000,  65, 135, 250, 250,    0,  -41,   25,   -7
2475.000, 254,  79, 253, 252,   27,  -15,   -1,   38
2476.000, 184,  26, 255, 254,   -6,   34,  -29,   25
2477.000, 114, 228, 252, 252,  -29,   35,   10,  -29
2478.000,  41, 176, 252, 252,   17,  -18,   27,  -45
2479.000, 227, 126, 254, 253,   23,  -52,  -20,    2

[ANTENNA_MEASUREMENT_VALUE_1]
2400.000,  75, 186, 254, 253,  -12,   -7,   42,  -43
2401.000,   9, 132, 249, 253,   41,  -41,    9,   -4
2402.000, 198,  79, 252, 251,    6,  -13,  -44,   34
2403.000, 130,  21, 253, 253,  -48,   31,   -2,   18
2404.000,  58, 223, 251, 249,    7,   26,   51,  -27
2405.000, 243, 170, 254, 252,   46,  -21,  -16,  -34
2406.000, 172, 122, 252, 253,  -21,  -43,  -40,    7
2407.000, 105,  74, 254, 251,  -33,  -10,   21,   40
2408.000,  41,  24, 253, 254,   20,   32,   31,   21
2409.000, 231, 229, 251, 254,   29,   26,  -20,  -21
2410.000, 168, 174, 252, 251,  -16,  -13,  -24,  -28
2411.000, 113, 122, 253, 252,  -31,  -29,   12,    4
2412.000,  47,  65, 252, 251,   16,    0,   35,   25
2413.000, 235, 255, 251, 252,   40,   28,  -22,    0
2414.000, 163, 202, 253, 251,  -33,    8,  -38,  -32
2415.000,  91, 148, 253, 251,  -31,  -34,   39,  -18
2416.000,  24, 101, 251, 254,   41,  -33,   27,   27
2417.000, 210,  50, 248, 250,   20,   14,  -43,   40
2418.000, 145, 251, 253, 250,  -44,   42,  -20,   -5
2419.000,  76, 202, 252, 253,  -16,    9,   55,  -39
2420.000,   5, 145, 251, 253,   60,  -38,    8,  -16
2421.000, 190,  95, 254, 253,   -2,  -34,  -61,   35
2422.000, 120,  47, 254, 253,  -58,   20,   12,   47
2423.000,  51, 255, 253, 255,   17,   52,   53,   -1
2424.000, 239, 206, 254, 252,   50,   17,  -23,  -47
2425.000, 171, 154, 254, 253,  -27,  -39,  -48,  -28
2426.000, 104, 102, 255, 253,  -48,  -38,   32,   28
2427.000,  33,  48, 252, 252,   43,   18,   45,   43
2428.000, 216, 251, 254, 252,   35,   49,  -54,   -6
2429.000, 143, 202, 253, 253,  -57,   12,  -21,  -52
2430.000,  70, 152, 249, 254,   -8,  -46,   56,  -31
2431.000,   0, 104, 253, 254,   53,  -43,    0,   28
2432.000, 189,  55, 252, 252,   -4,   11,  -51,   48
2433.000, 119,   6, 253, 251,  -48,   44,   10,    7
2434.000,  52, 212, 254, 251,   13,   20,   44,  -39
2435.000, 235, 161, 253, 252,   39,  -28,  -22,  -30
2436.000, 167, 109, 254, 253,  -22,  -35,  -30,   17
2437.000, 100,  61, 252, 251,  -29,    3,   24,   37
2438.000,  28,   9, 251, 250,   24,   31,   20,    7
2439.000, 223, 212, 253, 249,   18,   15,  -19,  -28
2440.000, 160, 163, 252, 253,  -19,  -17,  -19,  -20
2441.000,  99, 102, 251, 253,  -23,  -18,   20,   14
2442.000,  26,  44, 252, 254,   30,   11,   21,   20
2443.000, 207, 241, 253, 251,   13,   25,  -32,  -10
2444.000, 140, 195, 255, 250,  -34,    2,  -10,  -31
2445.000,  67, 149, 253, 252,   -2,  -26,   37,  -14
2446.000, 250,  97, 252, 253,   36,  -22,   -5,   21
2447.000, 176,  51, 253, 248,  -13,   10,  -32,   30
2448.000, 102,   4, 250, 253,  -25,   31,   19,    3
2449.000,  30, 213, 252, 252,   22,   15,   19,  -26
2450.000, 208, 167, 252, 251,    9,  -15,  -23,  -22
2451.000, 135, 120, 248, 253,  -19,  -24,   -3,    5
2452.000,  67,  77, 252, 254,   -1,   -7,   14,   20
2453.000,  13,  28, 249, 253,   13,   13,    4,   10
2454.000, 197, 230, 249, 251,    2,   10,  -17,   -7
2455.000, 120, 163, 251, 250,  -19,   -7,    4,   -9
2456.000,  45, 113, 252, 247,   10,  -13,   19,    5
2457.000, 222,  70, 252, 252,   15,   -3,  -17,   16
2458.000, 144,  27, 253, 252,  -22,   14,   -9,   11
2459.000,  68, 244, 252, 253,   -2,   19,   26,   -6
2460.000, 245, 202, 254, 251,   28,    5,   -8,  -20
2461.000, 167, 158, 254, 254,  -18,  -16,  -26,  -15
2462.000,  86, 116, 252, 251,  -17,  -23,   28,    7
2463.000,   9,  75, 252, 252,   32,   -7,    7,   26
2464.000, 191,  35, 250, 251,   -1,   19,  -32,   21
2465.000, 116, 247, 253, 250,  -31,   27,    9,   -6
2466.000,  43, 198, 253, 253,   15,    4,   26,  -27
2467.000, 230, 153, 249, 254,   25,  -22,  -19,  -16
2468.000, 159, 105, 254, 254,  -23,  -22,  -22,   14
2469.000,  92,  55, 253, 251,  -20,    6,   26,   26
2470.000,  24,   9, 253, 251,   29,   26,   19,    6
2471.000, 210, 215, 254, 253,   16,   15,  -34,  -24
2472.000, 137, 163, 254, 253,  -38,  -19,   -8,  -22
2473.000,  65, 113, 251, 254,   -1,  -29,   38,   12
2474.000, 251,  66, 251, 252,   37,   -1,   -5,   32
2475.000, 180,  16, 254, 252,  -11,   29,  -35,   12
2476.000, 111, 223, 255, 253,  -31,   22,   14,  -23
2477.000,  45, 172, 250, 252,   15,  -14,   31,  -27
2478.000, 231, 121, 252, 252,   30,  -29,  -20,    5
2479.000, 163,  65, 253, 251,  -25,   -1,  -29,   29

[ANTENNA_MEASUREMENT_VALUE_2]
2400.000, 152,  22, 255, 253,  -21,   17,  -14,   10
2401.000,  92, 229, 250, 252,  -10,   14,   12,  -11
2402.000,  44, 180, 251, 251,    7,   -4,   13,  -12
2403.000, 251, 117, 249, 250,   19,   -8,   -3,    2
2404.000, 184,  45, 251, 251,   -5,    4,  -28,    7
2405.000, 117, 229, 254, 252,  -34,    8,    9,   -6
2406.000,  48, 175, 253, 252,   18,   -6,   42,  -14
2407.000, 230, 122, 252, 255,   42,  -19,  -32,    3
2408.000, 156,  72, 253, 253,  -43,   -5,  -36,   24
2409.000,  86,  27, 253, 253,  -30,   22,   49,   17
2410.000,  15, 238, 250, 251,   55,   27,   21,  -13
2411.000, 201, 190, 253, 251,   14,   -1,  -60,  -31
2412.000, 127, 140, 253, 254,  -60,  -30,    2,   -9
2413.000,  55,  92, 250, 253,   12,  -21,   56,   25
2414.000, 236,  46, 252, 250,   47,   14,  -26,   29
2415.000, 166, 253, 249, 253,  -23,   31,  -31,   -3
2416.000, 102, 207, 253, 254,  -29,   10,   22,  -26
2417.000,  35, 155, 253, 253,   19,  -17,   22,  -13
2418.000, 230,  96, 252, 251,   21,  -13,  -15,   14
2419.000, 172,  45, 252, 251,  -11,    7,  -20,   14
2420.000, 124, 241, 251, 248,  -28,   13,    3,   -5
2421.000,  56, 180, 247, 251,    7,   -3,   39,  -11
